380	1320
376	1300
356	1300
352	1280
348	1260
396	1296
344	1240
335	1222
331	1202
327	1182
347	1179
323	1162
319	1142
315	1122
311	1102
312	1082
308	1062
304	1042
315	1025
303	1165
416	1294
322	1006
365	1334
291	1102
436	1291
321	986
284	1172
324	966
342	1009
284	1041
324	946
333	928
333	908
339	1141
353	929
330	888
323	869
456	1293
330	850
347	839
351	819
264	1175
344	800
343	780
336	761
329	742
469	1309
322	723
320	703
244	1179
313	684
362	1010
306	665
304	645
324	641
297	626
290	607
283	588
276	569
269	550
272	530
381	1017
252	528
245	509
238	490
344	643
364	645
303	871
376	629
320	621
391	615
283	867
355	949
263	869
263	889
406	601
371	819
424	610
400	1010
434	592
232	1163
485	1297
219	483
452	601
235	1197
412	1026
472	598
438	572
372	922
252	852
489	587
496	568
232	849
372	608
205	498
514	559
216	1204
428	1038
513	539
525	523
446	1029
264	1042
187	507
355	1129
523	503
527	483
531	570
389	810
217	1149
212	849
169	498
292	1079
290	521
286	669
199	1215
151	507
504	1290
392	922
542	469
197	1146
562	466
484	614
433	1271
500	627
162	479
309	513
319	495
195	1126
524	1289
375	902
465	1036
551	573
573	449
179	1213
195	860
573	429
363	1192
177	1143
447	1009
299	493
463	997
142	525
368	1259
161	1223
161	1130
517	616
379	882
383	1194
422	630
481	988
585	413
299	473
328	1258
141	1224
178	849
141	1132
247	1053
288	1021
595	395
296	453
162	861
581	380
123	518
288	434
501	991
144	852
525	1269
306	735
529	632
517	1003
138	1112
478	1327
210	874
592	363
130	837
135	870
279	416
313	910
271	1106
227	1057
569	582
283	396
544	1261
523	461
128	889
589	343
500	647
541	648
580	325
271	380
481	968
537	1006
167	1197
299	384
578	305
537	1026
119	1105
270	360
264	595
316	450
259	343
248	326
266	317
409	911
107	1089
585	286
108	893
362	773
413	1267
527	1309
551	1041
589	579
88	894
581	560
292	750
578	267
508	447
562	1058
139	1244
564	1262
231	1077
545	668
263	297
251	281
284	645
589	250
248	261
480	650
371	961
488	444
103	1069
251	241
572	239
251	383
271	237
548	688
575	1279
342	719
274	1070
584	223
551	991
127	1260
582	203
392	1336
571	186
409	812
490	950
250	1154
128	817
261	834
112	1051
316	759
272	752
154	541
121	1221
364	1212
271	816
435	1057
499	932
589	177
72	907
290	244
104	511
593	453
110	838
270	217
254	205
101	1224
238	193
222	181
206	169
351	1109
190	157
174	145
158	132
142	120
126	107
552	708
170	116
313	1272
472	456
85	1212
353	625
429	909
392	586
116	89
462	1339
