380	1320
400	1319
403	1299
423	1296
424	1276
420	1256
424	1236
412	1220
410	1200
399	1183
400	1163
397	1143
390	1124
407	1113
407	1093
395	1077
396	1057
392	1037
392	1017
383	999
395	983
393	963
386	944
383	924
376	905
369	886
362	867
355	848
348	829
350	809
338	793
339	773
332	754
320	738
313	719
306	700
295	683
302	664
295	645
304	627
314	609
303	592
289	577
300	560
284	548
296	532
300	512
291	494
282	476
273	458
264	440
255	422
258	402
249	384
261	368
270	350
273	330
261	314
249	298
261	282
277	270
297	268
295	248
298	228
282	216
266	204
250	192
234	180
218	168
202	156
205	136
187	127
169	118
151	109
133	100
115	91
88	76
